Time,Type,Price,Quantity
2023-06-10 21:45:00,close_long,1743.86,0.03232
2023-06-10 23:00:00,open_long,1743.38,0.03232
2023-06-11 01:00:00,close_long,1732.5,0.03232
2023-06-11 02:30:00,open_long,1735.0,0.03228
2023-06-11 04:00:00,close_long,1743.32,0.03228
2023-06-11 07:15:00,open_long,1750.84,0.0321
2023-06-11 09:45:00,close_long,1748.11,0.0321
2023-06-11 12:15:00,open_long,1749.24,0.03206
2023-06-11 13:00:00,close_long,1753.2,0.03206
2023-06-11 14:30:00,open_long,1757.32,0.03196
2023-06-11 17:15:00,close_long,1747.06,0.03196
2023-06-11 20:00:00,open_long,1751.48,0.03188
2023-06-11 22:00:00,close_long,1740.27,0.03188
2023-06-11 23:45:00,open_long,1741.36,0.03187
2023-06-12 00:30:00,close_long,1747.19,0.03187
2023-06-12 02:00:00,open_long,1755.2,0.03169
2023-06-12 03:30:00,close_long,1763.4,0.03169
2023-06-12 04:30:00,open_long,1766.4,0.03159
2023-06-12 07:00:00,close_long,1753.13,0.03159
2023-06-12 08:30:00,open_long,1747.93,0.0317
2023-06-12 08:45:00,close_long,1744.57,0.0317
2023-06-12 09:30:00,open_long,1748.07,0.03162
2023-06-12 11:00:00,close_long,1730.53,0.03162
2023-06-12 13:45:00,open_long,1737.55,0.03152
2023-06-12 16:15:00,close_long,1737.78,0.03152
2023-06-12 17:45:00,open_long,1750.19,0.03128
2023-06-12 20:30:00,close_long,1742.35,0.03128
2023-06-12 22:15:00,open_long,1741.06,0.0313
2023-06-12 22:45:00,close_long,1737.98,0.0313
2023-06-12 23:15:00,open_long,1735.4,0.03133
2023-06-13 00:15:00,close_long,1733.11,0.03133
2023-06-13 01:45:00,open_long,1738.82,0.03121
2023-06-13 04:15:00,close_long,1733.0,0.03121
2023-06-13 06:00:00,open_long,1742.61,0.03104
2023-06-13 09:30:00,close_long,1743.83,0.03104
2023-06-13 11:45:00,open_long,1748.14,0.03094
2023-06-13 13:00:00,close_long,1747.0,0.03094
2023-06-13 14:45:00,open_long,1748.7,0.03089
2023-06-13 16:30:00,close_long,1750.72,0.03089
2023-06-13 17:30:00,open_long,1750.83,0.03086
2023-06-13 18:45:00,close_long,1748.79,0.03086
2023-06-13 20:30:00,open_long,1753.36,0.03076
2023-06-13 20:45:00,close_long,1744.87,0.03076
2023-06-13 21:00:00,open_long,1741.38,0.03083
2023-06-13 23:00:00,close_long,1739.39,0.03083
2023-06-14 02:15:00,open_long,1745.46,0.0307
2023-06-14 05:15:00,close_long,1737.6,0.0307
2023-06-14 06:15:00,open_long,1736.32,0.03073
2023-06-14 07:00:00,close_long,1733.98,0.03073
2023-06-14 09:15:00,open_long,1741.8,0.03057
2023-06-14 09:45:00,close_long,1742.88,0.03057
2023-06-14 10:00:00,open_long,1746.67,0.03048
2023-06-14 10:15:00,close_long,1745.58,0.03048
2023-06-14 10:30:00,open_long,1745.11,0.03047
2023-06-14 14:15:00,close_long,1738.36,0.03047
2023-06-14 17:30:00,open_long,1744.34,0.03037
2023-06-14 18:00:00,close_long,1744.57,0.03037
2023-06-14 19:00:00,open_long,1746.44,0.03031
2023-06-14 19:15:00,close_long,1745.46,0.03031
2023-06-14 19:30:00,open_long,1747.38,0.03026
2023-06-14 22:00:00,close_long,1740.4,0.03026
2023-06-15 00:45:00,open_long,1739.51,0.03027
2023-06-15 01:45:00,close_long,1737.66,0.03027
2023-06-15 03:00:00,open_long,1733.13,0.03034
2023-06-15 06:00:00,close_long,1653.47,0.03034
2023-06-15 08:15:00,open_long,1651.07,0.03058
2023-06-15 08:30:00,close_long,1651.2,0.03058
2023-06-15 09:30:00,open_long,1648.83,0.0306
2023-06-15 10:30:00,close_long,1651.61,0.0306
2023-06-15 12:00:00,open_long,1651.01,0.03059
2023-06-15 13:15:00,close_long,1649.71,0.03059
2023-06-15 13:45:00,open_long,1644.2,0.03067
2023-06-15 15:30:00,close_long,1637.79,0.03067
2023-06-15 17:15:00,open_long,1639.69,0.03063
2023-06-15 18:30:00,close_long,1638.38,0.03063
2023-06-15 19:15:00,open_long,1633.47,0.03071
2023-06-15 19:45:00,close_long,1640.81,0.03071
2023-06-15 20:45:00,open_long,1638.0,0.03072
2023-06-15 21:15:00,close_long,1639.93,0.03072
2023-06-15 22:30:00,open_long,1645.8,0.03058
2023-06-16 00:30:00,close_long,1642.86,0.03058
2023-06-16 04:00:00,open_long,1668.17,0.03011
2023-06-16 05:30:00,close_long,1673.49,0.03011
2023-06-16 06:00:00,open_long,1665.63,0.03021
2023-06-16 08:00:00,close_long,1665.64,0.03021
2023-06-16 09:00:00,open_long,1661.03,0.03028
2023-06-16 09:30:00,close_long,1662.44,0.03028
2023-06-16 12:15:00,open_long,1669.56,0.03012
2023-06-16 13:45:00,close_long,1669.67,0.03012
2023-06-16 15:00:00,open_long,1670.53,0.03009
2023-06-16 16:15:00,close_long,1671.96,0.03009
2023-06-16 16:45:00,open_long,1672.42,0.03005
2023-06-16 18:15:00,close_long,1668.67,0.03005
2023-06-16 19:45:00,open_long,1665.02,0.03011
2023-06-16 20:30:00,close_long,1666.0,0.03011
2023-06-16 21:45:00,open_long,1664.57,0.03011
2023-06-16 23:00:00,close_long,1670.67,0.03011
2023-06-17 01:00:00,open_long,1685.25,0.02982
2023-06-17 01:45:00,close_long,1694.39,0.02982
2023-06-17 02:30:00,open_long,1718.34,0.02936
2023-06-17 04:30:00,close_long,1722.69,0.02936
2023-06-17 05:15:00,open_long,1724.21,0.0293
2023-06-17 07:00:00,close_long,1719.18,0.0293
2023-06-17 09:00:00,open_long,1715.82,0.02935
2023-06-17 09:15:00,close_long,1715.91,0.02935
2023-06-17 09:45:00,open_long,1717.53,0.0293
2023-06-17 10:00:00,close_long,1714.84,0.0293
2023-06-17 11:30:00,open_long,1717.76,0.02924
2023-06-17 12:30:00,close_long,1720.49,0.02924
2023-06-17 13:45:00,open_long,1756.69,0.02861
2023-06-17 17:00:00,close_long,1743.4,0.02861
2023-06-17 19:30:00,open_long,1740.0,0.02868
2023-06-17 20:15:00,close_long,1738.66,0.02868
2023-06-17 22:15:00,open_long,1737.77,0.02868
2023-06-17 23:30:00,close_long,1732.19,0.02868
